Epoch [1/2000], Average Loss: 0.062362, Current_LR:0.0005
Epoch [2/2000], Average Loss: 0.009467, Current_LR:0.0005
Epoch [3/2000], Average Loss: 0.007174, Current_LR:0.0005
Epoch [4/2000], Average Loss: 0.006096, Current_LR:0.0005
Epoch [5/2000], Average Loss: 0.006335, Current_LR:0.0005
Epoch [6/2000], Average Loss: 0.006209, Current_LR:0.0005
Epoch [7/2000], Average Loss: 0.006099, Current_LR:0.0005
Epoch [8/2000], Average Loss: 0.006072, Current_LR:0.0005
Epoch [9/2000], Average Loss: 0.006055, Current_LR:0.0005
Epoch [10/2000], Average Loss: 0.005963, Current_LR:0.0005
Epoch [11/2000], Average Loss: 0.005539, Current_LR:0.0005
Epoch [12/2000], Average Loss: 0.005116, Current_LR:0.0005
Epoch [13/2000], Average Loss: 0.005068, Current_LR:0.0005
Epoch [14/2000], Average Loss: 0.004624, Current_LR:0.0005
Epoch [15/2000], Average Loss: 0.004510, Current_LR:0.0005
Epoch [16/2000], Average Loss: 0.004458, Current_LR:0.0005
Epoch [17/2000], Average Loss: 0.004371, Current_LR:0.0005
Epoch [18/2000], Average Loss: 0.004279, Current_LR:0.0005
Epoch [19/2000], Average Loss: 0.004366, Current_LR:0.0005
Epoch [20/2000], Average Loss: 0.004214, Current_LR:0.0005
Epoch [21/2000], Average Loss: 0.004145, Current_LR:0.0005
Epoch [22/2000], Average Loss: 0.003996, Current_LR:0.0005
Epoch [23/2000], Average Loss: 0.003838, Current_LR:0.0005
Epoch [24/2000], Average Loss: 0.003714, Current_LR:0.0005
Epoch [25/2000], Average Loss: 0.003674, Current_LR:0.0005
Epoch [26/2000], Average Loss: 0.003852, Current_LR:0.0005
Epoch [27/2000], Average Loss: 0.003694, Current_LR:0.0005
Epoch [28/2000], Average Loss: 0.003623, Current_LR:0.0005
Epoch [29/2000], Average Loss: 0.003424, Current_LR:0.0005
Epoch [30/2000], Average Loss: 0.003482, Current_LR:0.0005
Epoch [31/2000], Average Loss: 0.003463, Current_LR:0.0005
Epoch [32/2000], Average Loss: 0.003352, Current_LR:0.0005
Epoch [33/2000], Average Loss: 0.003130, Current_LR:0.0005
Epoch [34/2000], Average Loss: 0.003086, Current_LR:0.0005
Epoch [35/2000], Average Loss: 0.002952, Current_LR:0.0005
Epoch [36/2000], Average Loss: 0.002920, Current_LR:0.0005
Epoch [37/2000], Average Loss: 0.002851, Current_LR:0.0005
Epoch [38/2000], Average Loss: 0.002920, Current_LR:0.0005
Epoch [39/2000], Average Loss: 0.002785, Current_LR:0.0005
Epoch [40/2000], Average Loss: 0.002733, Current_LR:0.0005
Epoch [41/2000], Average Loss: 0.002650, Current_LR:0.0005
Epoch [42/2000], Average Loss: 0.002671, Current_LR:0.0005
Epoch [43/2000], Average Loss: 0.002552, Current_LR:0.0005
Epoch [44/2000], Average Loss: 0.002408, Current_LR:0.0005
Epoch [45/2000], Average Loss: 0.002411, Current_LR:0.0005
Epoch [46/2000], Average Loss: 0.002297, Current_LR:0.0005
Epoch [47/2000], Average Loss: 0.002275, Current_LR:0.0005
Epoch [48/2000], Average Loss: 0.002355, Current_LR:0.0005
Epoch [49/2000], Average Loss: 0.002160, Current_LR:0.0005
Epoch [50/2000], Average Loss: 0.002089, Current_LR:0.0005
Epoch [51/2000], Average Loss: 0.002058, Current_LR:0.0005
Epoch [52/2000], Average Loss: 0.002036, Current_LR:0.0005
Epoch [53/2000], Average Loss: 0.002024, Current_LR:0.0005
Epoch [54/2000], Average Loss: 0.001970, Current_LR:0.0005
