Experiment name: EXP_2_1
Epoch [1/1000], Average Loss: 0.189360, Current_LR:0.0005
Epoch [2/1000], Average Loss: 0.109314, Current_LR:0.0005
Epoch [3/1000], Average Loss: 0.009516, Current_LR:0.0005
Epoch [4/1000], Average Loss: 0.006470, Current_LR:0.0005
Epoch [5/1000], Average Loss: 0.006138, Current_LR:0.0005
Epoch [6/1000], Average Loss: 0.006336, Current_LR:0.0005
Epoch [7/1000], Average Loss: 0.005589, Current_LR:0.0005
Epoch [8/1000], Average Loss: 0.005766, Current_LR:0.0005
Epoch [9/1000], Average Loss: 0.005347, Current_LR:0.0005
Epoch [10/1000], Average Loss: 0.004331, Current_LR:0.0005
Epoch [11/1000], Average Loss: 0.003549, Current_LR:0.0005
Epoch [12/1000], Average Loss: 0.003454, Current_LR:0.0005
Epoch [13/1000], Average Loss: 0.004018, Current_LR:0.0005
Epoch [14/1000], Average Loss: 0.003820, Current_LR:0.0005
Epoch [15/1000], Average Loss: 0.003237, Current_LR:0.0005
Epoch [16/1000], Average Loss: 0.003559, Current_LR:0.0005
Epoch [17/1000], Average Loss: 0.003452, Current_LR:0.0005
Epoch [18/1000], Average Loss: 0.003359, Current_LR:0.0005
Epoch [19/1000], Average Loss: 0.003190, Current_LR:0.0005
Epoch [20/1000], Average Loss: 0.003037, Current_LR:0.0005
Epoch [21/1000], Average Loss: 0.002867, Current_LR:0.0005
Epoch [22/1000], Average Loss: 0.003012, Current_LR:0.0005
Epoch [23/1000], Average Loss: 0.002992, Current_LR:0.0005
Epoch [24/1000], Average Loss: 0.002936, Current_LR:0.0005
Epoch [25/1000], Average Loss: 0.002756, Current_LR:0.0005
Epoch [26/1000], Average Loss: 0.002678, Current_LR:0.0005
Epoch [27/1000], Average Loss: 0.002648, Current_LR:0.0005
Epoch [28/1000], Average Loss: 0.002671, Current_LR:0.0005
Epoch [29/1000], Average Loss: 0.002726, Current_LR:0.0005
Epoch [30/1000], Average Loss: 0.002650, Current_LR:0.0005
Epoch [31/1000], Average Loss: 0.002617, Current_LR:0.0005
Epoch [32/1000], Average Loss: 0.002492, Current_LR:0.0005
Epoch [33/1000], Average Loss: 0.002367, Current_LR:0.0005
